"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kai'Sa","ADC",3,"14.3%","0.0%","14.3%","33%","100%",8,5,19,5.4,"75.0%","15.6%","0%",27,64,6,10,"32.1%",443,"26.4%","27.2%",0.42,0.43
"Kalista","ADC",2,"9.5%","4.8%","14.3%","50%","0%",6,5,10,3.2,"69.6%","13.9%","50%",-496,-131,-7,10.4,"34.2%",496,"26.4%","30.2%",0.4,0.54
"Karma","Top",1,"4.8%","0.0%","4.8%","0%","100%",1,2,7,4,"72.7%","10.0%","0%",-536,-238,-12,7.7,"24.7%",491,"28.4%","21.5%",0.43,0.19
"Karthus","Jungle",4,"19.0%","81.0%","100.0%","100%","0%",16,7,31,6.7,"79.7%","21.2%","25%",139,299,7,6.5,"19.1%",492,"25.2%","20.3%",0.48,0.28
"Kayle","Middle",2,"9.5%","47.6%","57.1%","50%","0%",19,5,10,5.8,"78.4%","19.2%","50%",252,212,-0.5,10.5,"32.1%",893,"42.5%","31.9%",0.48,0.11
"Kennen","Top",5,"23.8%","33.3%","57.1%","40%","80%",8,16,26,2.1,"69.4%","20.8%","20%",535,162,12.8,7.9,"25.4%",460,"26.2%","23.4%",0.51,0.24
"Kindred","Jungle",1,"4.8%","4.8%","9.5%","0%","100%",0,2,4,2,"44.4%","15.4%","0%",-465,67,4,7.2,"22.7%",154,"12.9%","21.4%",0.31,0.28
"LeBlanc","Middle",1,"4.8%","23.8%","28.6%","100%","0%",2,3,10,4,"63.2%","20.0%","0%",266,9,13,8.7,"23.4%",512,"21.9%","21.6%",0.27,0.37
"Lissandra","Middle",10,"47.6%","28.6%","81.0%","60%","30%",19,26,65,3.2,"68.3%","20.5%","0%",112,10,4.6,9.2,"26.1%",365,"23.1%","23.0%",0.54,0.18
"Lissandra","Top",1,"4.8%","28.6%","81.0%","100%","0%",2,5,14,3.2,"76.2%","62.5%","0%",523,128,8,6.9,"16.8%",557,"24.1%","17.4%",0.51,0.14
"Lucian","Top",1,"4.8%","9.5%","14.3%","0%","0%",2,1,3,5,"62.5%","5.3%","100%",387,202,20,9.4,"30.0%",376,"18.4%","26.7%",0.52,0.2
"Morgana","ADC",1,"4.8%","19.0%","33.3%","100%","100%",3,2,13,8,"66.7%","28.6%","0%",451,973,68,8.3,"22.9%",366,"18.6%","19.8%",0.36,0.24
"Morgana","Middle",2,"9.5%","19.0%","33.3%","0%","100%",5,4,14,4.8,"70.4%","10.5%","0%",-279,-126,-12,6.8,"19.0%",588,"25.9%","19.0%",0.43,0.17
"Neeko","ADC",1,"4.8%","0.0%","4.8%","100%","100%",9,0,3,12,"57.1%","0.0%","0%",126,595,0,8.4,"36.1%",873,"32.0%","27.6%",0.32,0.16
"Nocturne","Jungle",1,"4.8%","4.8%","9.5%","0%","0%",1,4,0,0.3,"12.5%","26.7%","0%",-735,-31,0,5.1,"13.4%",100,"9.1%","15.2%",0.32,0.45
"Olaf","Jungle",1,"4.8%","0.0%","4.8%","100%","100%",2,0,9,11,"73.3%","0.0%","100%",735,31,0,5.6,"16.1%",307,"22.4%","17.5%",1.25,0.45
