"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Cho'Gath","Jungle",1,"0.9%","11.6%","43.8%","0%","100%",1,2,2,1.5,"100.0%","14.3%","0%",-1027,-781,-11,4.6,"14.8%",232,"13.4%","17.3%",1.05,0.21
"Cho'Gath","Top",35,"31.3%","11.6%","43.8%","51%","60%",86,78,128,2.7,"60.1%","19.2%","11%",-301,-224,-6.5,7.6,"21.6%",292,"17.2%","20.5%",0.55,0.16
"Corki","Middle",13,"11.6%","4.5%","16.1%","31%","69%",42,32,49,2.8,"72.2%","17.7%","15%",152,71,0.8,9.9,"28.4%",576,"31.5%","26.1%",0.51,0.3
"Ekko","Middle",1,"0.9%","0.0%","0.9%","100%","100%",2,1,6,8,"66.7%","33.3%","0%",482,277,11,9.6,"27.7%",484,"21.4%","23.5%",0.96,0.16
"Ezreal","ADC",35,"31.3%","12.5%","44.6%","60%","57%",113,57,185,5.2,"75.3%","16.2%","29%",349,99,2.8,9.9,"29.2%",692,"34.0%","26.1%",0.44,0.24
"Ezreal","Jungle",1,"0.9%","12.5%","44.6%","100%","0%",6,4,7,3.3,"72.2%","23.5%","100%",850,-103,-7,5.1,"17.1%",434,"22.7%","22.0%",0.31,0.25
"Fiora","Top",1,"0.9%","5.4%","6.3%","0%","100%",3,6,2,0.8,"45.5%","28.6%","0%",481,408,4,8.2,"23.4%",427,"23.6%","23.1%",0.54,0
"Fizz","Middle",1,"0.9%","0.0%","0.9%","0%","100%",4,8,4,1,"53.3%","25.0%","100%",437,-12,6,7.1,"27.8%",394,"18.8%","23.4%",1.1,0.37
"Galio","Middle",19,"17.0%","42.0%","58.9%","37%","16%",44,47,106,3.2,"77.7%","18.7%","26%",-186,-30,-6.8,8.8,"25.9%",471,"26.2%","23.4%",0.58,0.2
"Gangplank","Middle",2,"1.8%","30.4%","49.1%","100%","100%",6,0,17,23,"79.3%","0.0%","50%",554,-308,-5.5,9.2,"27.7%",638,"30.8%","26.4%",0.47,0.11
"Gangplank","Top",19,"17.0%","30.4%","49.1%","68%","37%",34,27,110,5.3,"63.4%","17.8%","11%",344,-94,-5.8,8.9,"27.2%",547,"26.4%","25.7%",0.58,0.12
"Gnar","Top",35,"31.3%","30.4%","61.6%","43%","47%",57,66,143,3,"52.2%","15.8%","9%",-37,-39,2.7,8.6,"24.3%",399,"22.2%","21.6%",0.6,0.17
"Gragas","Jungle",11,"9.8%","1.8%","11.6%","73%","91%",12,25,68,3.2,"69.6%","23.8%","36%",-147,-162,-5.8,4.3,"10.5%",184,"10.0%","14.3%",1.54,0.39
"Illaoi","Middle",1,"0.9%","1.8%","3.6%","100%","100%",3,4,9,3,"85.7%","20.0%","0%",714,518,36,8.1,"25.5%",853,"36.3%","24.4%",0.5,0.11
"Illaoi","Top",1,"0.9%","1.8%","3.6%","0%","100%",1,5,1,0.4,"33.3%","22.7%","0%",-1736,-1030,-26,7.3,"27.2%",304,"27.9%","23.1%",0.56,0.19
"Ivern","Jungle",2,"1.8%","1.8%","3.6%","50%","100%",4,6,15,3.2,"90.5%","26.1%","50%",22,58,-10,4,"9.1%",162,"8.7%","15.0%",1.01,0.31
"Janna","Support",26,"23.2%","24.1%","47.3%","73%","76%",12,54,228,4.4,"80.0%","21.4%","15%",25,65,-9.3,0.9,"3.2%",199,"9.9%","11.5%",1.19,0.42
"Jarvan IV","Jungle",44,"39.3%","26.8%","66.1%","66%","39%",52,96,376,4.5,"83.3%","23.6%","43%",-35,-121,-3.8,4.7,"12.3%",181,"9.4%","15.9%",1.9,0.5
"Jax","Jungle",12,"10.7%","6.3%","17.9%","33%","67%",20,24,50,2.9,"67.3%","17.0%","42%",-138,-180,-2.6,5.3,"14.4%",161,"9.9%","17.8%",1.27,0.47
"Jax","Top",1,"0.9%","6.3%","17.9%","100%","100%",7,1,3,10,"62.5%","16.7%","100%",1011,984,12,9.6,"30.8%",654,"29.1%","27.4%",0.54,0.11
"Jayce","Top",6,"5.4%","4.5%","9.8%","50%","83%",23,13,31,4.2,"70.1%","18.6%","17%",264,-22,5.8,8.4,"24.6%",437,"23.1%","22.4%",0.75,0.14
"Jhin","ADC",5,"4.5%","1.8%","6.3%","80%","60%",13,11,31,4,"57.9%","18.0%","0%",-209,-52,-4.4,8.6,"25.6%",487,"22.9%","22.2%",0.31,0.14
"Jinx","ADC",5,"4.5%","0.0%","4.5%","60%","100%",24,1,22,46,"74.2%","3.6%","60%",276,-151,2.6,11,"33.7%",478,"29.9%","28.9%",0.39,0.34
"Kai'Sa","Jungle",1,"0.9%","0.0%","0.9%","100%","0%",6,4,4,2.5,"47.6%","36.4%","0%",-885,16,5,5.8,"20.7%",471,"22.1%","21.9%",0.28,0.36
"Kalista","ADC",14,"12.5%","58.0%","70.5%","64%","29%",81,19,66,7.7,"77.0%","17.8%","43%",415,106,7.5,9.7,"30.4%",497,"25.1%","26.5%",0.3,0.33
"Karma","Middle",3,"2.7%","0.9%","6.3%","33%","100%",3,11,9,1.1,"57.1%","19.6%","0%",-291,147,10.7,8.2,"26.7%",330,"22.7%","23.5%",0.49,0.18
"Karma","Support",1,"0.9%","0.9%","6.3%","0%","100%",1,4,7,2,"80.0%","20.0%","100%",-136,84,5,1.4,"5.6%",259,"14.5%","11.7%",1.41,0.83
"Karma","Top",2,"1.8%","0.9%","6.3%","50%","0%",2,4,13,3.8,"71.4%","16.0%","0%",349,-59,-1.5,7.6,"21.8%",322,"19.6%","21.0%",0.61,0.29
"Kassadin","Middle",5,"4.5%","3.6%","8.0%","0%","100%",12,11,9,1.9,"63.6%","15.5%","0%",-264,-70,-4,9.1,"25.3%",373,"26.8%","24.4%",0.46,0.25
"Katarina","-",0,"0%","6.3%","6.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Support",1,"0.9%","0.0%","1.8%","100%","100%",2,1,9,11,"73.3%","20.0%","0%",360,277,-11,1.7,"7.0%",281,"13.8%","13.3%",1.06,0.71
"Kennen","Top",1,"0.9%","0.0%","1.8%","0%","100%",2,2,0,1,"66.7%","25.0%","100%",640,410,10,9.6,"23.4%",266,"29.5%","22.2%",0.57,0.19
"Kha'Zix","Jungle",9,"8.0%","9.8%","17.9%","44%","44%",23,24,33,2.3,"62.9%","21.2%","22%",34,218,4.2,5.1,"13.4%",264,"15.6%","17.8%",1.5,0.46
"Kog'Maw","ADC",14,"12.5%","18.8%","31.3%","43%","43%",55,17,47,6,"77.9%","13.6%","14%",-59,-59,-3,9.7,"29.6%",557,"31.7%","26.0%",0.27,0.27
"LeBlanc","Middle",2,"1.8%","0.9%","2.7%","0%","100%",8,4,6,3.5,"77.8%","13.3%","50%",-81,328,0.5,9.1,"25.4%",497,"30.3%","25.2%",0.74,0.22
"Lee Sin","Jungle",6,"5.4%","0.9%","6.3%","33%","83%",13,15,37,3.3,"82.0%","30.6%","50%",6,190,-4,4.6,"11.6%",208,"12.2%","16.2%",1.92,0.5
"Leona","Support",5,"4.5%","0.9%","5.4%","60%","60%",7,22,38,2,"60.0%","34.4%","20%",111,-31,7,1.8,"6.1%",138,"7.7%","11.4%",1.25,0.39
"Lucian","ADC",1,"0.9%","0.0%","0.9%","0%","0%",1,2,4,2.5,"45.5%","9.5%","100%",388,403,-5,8,"33.5%",327,"27.5%","23.8%",0.32,0.08
"Lulu","Support",2,"1.8%","1.8%","3.6%","50%","100%",0,5,13,2.6,"92.9%","31.3%","50%",50,-41,-7,1.2,"3.1%",116,"5.6%","10.8%",1.02,0.43
"Lux","Middle",1,"0.9%","0.0%","0.9%","100%","0%",4,1,13,17,"81.0%","9.1%","0%",546,-379,16,8.2,"28.5%",652,"30.6%","22.1%",0.56,0.16
